Interactor1	Interactor2	Interaction
Q7Z3Y7	Q7Z3Y9	R-HSA-6809668
Q7Z3Y9	Q7Z3Z0	R-HSA-6809668
Q7Z3Z0	Q7Z3Z0	R-HSA-6809668
Q7Z3Y9	Q7Z3Y9	R-HSA-6809668
Q7Z3Y9	Q7Z3Y8	R-HSA-6809668
Q7Z3Y7	Q7Z3Y8	R-HSA-6809668
Q7Z3Y8	Q7Z3Z0	R-HSA-6809668
Q7Z3Y7	Q7Z3Y7	R-HSA-6809668
Q7Z3Y7	Q7Z3Z0	R-HSA-6809668
Q7Z3Y8	Q7Z3Y8	R-HSA-6809668
Q7Z3Y7	Q7Z3Y9	R-HSA-8847708
Q7Z3Y9	Q7Z3Z0	R-HSA-8847708
Q7Z3Y9	Q7Z3Y9	R-HSA-8847708
Q7Z3Z0	Q7Z3Z0	R-HSA-8847708
Q7Z3Y9	Q7Z3Y8	R-HSA-8847708
Q7Z3Y8	Q7Z3Y8	R-HSA-8847708
Q7Z3Y7	Q7Z3Y7	R-HSA-8847708
Q7Z3Y7	Q7Z3Z0	R-HSA-8847708
Q7Z3Y7	Q7Z3Y8	R-HSA-8847708
Q7Z3Y8	Q7Z3Z0	R-HSA-8847708
Q7Z3Y8	Q7Z3Y8	R-HSA-6814760
Q7Z3Y7	Q7Z3Y7	R-HSA-6814760
Q7Z3Y7	Q7Z3Z0	R-HSA-6814760
Q7Z3Y7	Q7Z3Y9	R-HSA-6814760
Q7Z3Y9	Q7Z3Z0	R-HSA-6814760
Q7Z3Y7	Q7Z3Y8	R-HSA-6814760
Q7Z3Y8	Q7Z3Z0	R-HSA-6814760
Q7Z3Z0	Q7Z3Z0	R-HSA-6814760
Q7Z3Y9	Q7Z3Y9	R-HSA-6814760
Q7Z3Y9	Q7Z3Y8	R-HSA-6814760
Q7Z3Y9	Q7Z3Y9	R-HSA-8848101
Q7Z3Z0	Q7Z3Z0	R-HSA-8848101
Q7Z3Y9	Q7Z3Y8	R-HSA-8848101
Q7Z3Y7	Q7Z3Y8	R-HSA-8848101
Q7Z3Y8	Q7Z3Z0	R-HSA-8848101
Q7Z3Y7	Q7Z3Y9	R-HSA-8848101
Q7Z3Y9	Q7Z3Z0	R-HSA-8848101
Q7Z3Y7	Q7Z3Y7	R-HSA-8848101
Q7Z3Y7	Q7Z3Z0	R-HSA-8848101
Q7Z3Y8	Q7Z3Y8	R-HSA-8848101
Q15582	Q15582	R-HSA-977188
P07900	P13473	R-HSA-9626026
P07900	P07900	R-HSA-9626026
P08238	P08238	R-HSA-9626026
P07900	P08238	R-HSA-9626026
